goos: linux
goarch: amd64
pkg: escapebench.local/matrix/M-b44a93baae51/subjects/Size1024FieldsPtr_STORED_IN_STRUCT_VALUE
cpu: Intel(R) Core(TM) Ultra 9 275HX
BenchmarkSubject 	1000000000	         0.2087 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubject 	1000000000	         0.2083 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubject 	1000000000	         0.2077 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubject 	1000000000	         0.2081 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubject 	1000000000	         0.2079 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubject 	1000000000	         0.2072 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubject 	1000000000	         0.2088 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubject 	1000000000	         0.2089 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubject 	1000000000	         0.2069 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubject 	1000000000	         0.2087 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubject 	1000000000	         0.2074 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubject 	1000000000	         0.2074 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubject 	1000000000	         0.2095 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubject 	1000000000	         0.2082 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubject 	1000000000	         0.2080 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubject 	1000000000	         0.2118 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubject 	1000000000	         0.2074 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubject 	1000000000	         0.2078 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubject 	1000000000	         0.2110 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubject 	1000000000	         0.2074 ns/op	       0 B/op	       0 allocs/op
PASS
ok  	escapebench.local/matrix/M-b44a93baae51/subjects/Size1024FieldsPtr_STORED_IN_STRUCT_VALUE	4.610s
