goos: linux
goarch: amd64
pkg: escapebench.local/matrix/M-b44a93baae51/subjects/Size0128FieldsPtr_RETURNED_ALLOCATING_K2_VALUE
cpu: Intel(R) Core(TM) Ultra 9 275HX
BenchmarkSubject 	11111266	        26.78 ns/op	      48 B/op	       2 allocs/op
BenchmarkSubject 	11029969	        26.39 ns/op	      48 B/op	       2 allocs/op
BenchmarkSubject 	11357991	        26.04 ns/op	      48 B/op	       2 allocs/op
BenchmarkSubject 	11511502	        25.76 ns/op	      48 B/op	       2 allocs/op
BenchmarkSubject 	11629803	        26.50 ns/op	      48 B/op	       2 allocs/op
BenchmarkSubject 	11181373	        27.16 ns/op	      48 B/op	       2 allocs/op
BenchmarkSubject 	11235750	        27.48 ns/op	      48 B/op	       2 allocs/op
BenchmarkSubject 	11297050	        27.39 ns/op	      48 B/op	       2 allocs/op
BenchmarkSubject 	11319681	        27.35 ns/op	      48 B/op	       2 allocs/op
BenchmarkSubject 	10904212	        26.89 ns/op	      48 B/op	       2 allocs/op
BenchmarkSubject 	10891552	        27.20 ns/op	      48 B/op	       2 allocs/op
BenchmarkSubject 	11365344	        27.92 ns/op	      48 B/op	       2 allocs/op
BenchmarkSubject 	10880305	        28.08 ns/op	      48 B/op	       2 allocs/op
BenchmarkSubject 	10490286	        27.38 ns/op	      48 B/op	       2 allocs/op
BenchmarkSubject 	11091969	        27.76 ns/op	      48 B/op	       2 allocs/op
BenchmarkSubject 	10999448	        27.17 ns/op	      48 B/op	       2 allocs/op
BenchmarkSubject 	10713150	        27.12 ns/op	      48 B/op	       2 allocs/op
BenchmarkSubject 	11303038	        25.88 ns/op	      48 B/op	       2 allocs/op
BenchmarkSubject 	11494510	        26.22 ns/op	      48 B/op	       2 allocs/op
BenchmarkSubject 	10995037	        25.97 ns/op	      48 B/op	       2 allocs/op
PASS
ok  	escapebench.local/matrix/M-b44a93baae51/subjects/Size0128FieldsPtr_RETURNED_ALLOCATING_K2_VALUE	6.573s
