goos: linux
goarch: amd64
pkg: escapebench.local/matrix/M-b44a93baae51/subjects/Size0016FieldsPtr_RETURNED_ALLOCATING_VALUE
cpu: Intel(R) Core(TM) Ultra 9 275HX
BenchmarkSubject 	26898324	        10.53 ns/op	      24 B/op	       1 allocs/op
BenchmarkSubject 	27029649	        10.35 ns/op	      24 B/op	       1 allocs/op
BenchmarkSubject 	27464553	        10.36 ns/op	      24 B/op	       1 allocs/op
BenchmarkSubject 	27881817	        10.59 ns/op	      24 B/op	       1 allocs/op
BenchmarkSubject 	27305796	        10.46 ns/op	      24 B/op	       1 allocs/op
BenchmarkSubject 	28105792	        11.71 ns/op	      24 B/op	       1 allocs/op
BenchmarkSubject 	27859765	        11.44 ns/op	      24 B/op	       1 allocs/op
BenchmarkSubject 	27149335	        11.67 ns/op	      24 B/op	       1 allocs/op
BenchmarkSubject 	26497720	        12.11 ns/op	      24 B/op	       1 allocs/op
BenchmarkSubject 	24672602	        12.11 ns/op	      24 B/op	       1 allocs/op
BenchmarkSubject 	24480478	        12.07 ns/op	      24 B/op	       1 allocs/op
BenchmarkSubject 	22842964	        11.60 ns/op	      24 B/op	       1 allocs/op
BenchmarkSubject 	23811078	        11.60 ns/op	      24 B/op	       1 allocs/op
BenchmarkSubject 	28415860	        11.33 ns/op	      24 B/op	       1 allocs/op
BenchmarkSubject 	25664658	        11.50 ns/op	      24 B/op	       1 allocs/op
BenchmarkSubject 	24165831	        11.46 ns/op	      24 B/op	       1 allocs/op
BenchmarkSubject 	25598775	        11.27 ns/op	      24 B/op	       1 allocs/op
BenchmarkSubject 	27771858	        11.10 ns/op	      24 B/op	       1 allocs/op
BenchmarkSubject 	27358705	        11.01 ns/op	      24 B/op	       1 allocs/op
BenchmarkSubject 	24458760	        11.35 ns/op	      24 B/op	       1 allocs/op
PASS
ok  	escapebench.local/matrix/M-b44a93baae51/subjects/Size0016FieldsPtr_RETURNED_ALLOCATING_VALUE	6.179s
