goos: linux
goarch: amd64
pkg: escapebench.local/matrix/M-b44a93baae51/subjects/Size0024FieldsPlain_RETURNED_ALLOCATING_R16_POINTER
cpu: Intel(R) Core(TM) Ultra 9 275HX
BenchmarkSubject 	  822889	       326.4 ns/op	     768 B/op	      32 allocs/op
BenchmarkSubject 	  920456	       327.9 ns/op	     768 B/op	      32 allocs/op
BenchmarkSubject 	  868410	       320.6 ns/op	     768 B/op	      32 allocs/op
BenchmarkSubject 	  798062	       330.3 ns/op	     768 B/op	      32 allocs/op
BenchmarkSubject 	  840393	       338.5 ns/op	     768 B/op	      32 allocs/op
BenchmarkSubject 	  853974	       329.6 ns/op	     768 B/op	      32 allocs/op
BenchmarkSubject 	  808900	       332.5 ns/op	     768 B/op	      32 allocs/op
BenchmarkSubject 	  907584	       335.2 ns/op	     768 B/op	      32 allocs/op
BenchmarkSubject 	  850821	       330.2 ns/op	     768 B/op	      32 allocs/op
BenchmarkSubject 	  820708	       328.9 ns/op	     768 B/op	      32 allocs/op
BenchmarkSubject 	  833067	       324.0 ns/op	     768 B/op	      32 allocs/op
BenchmarkSubject 	  819286	       325.3 ns/op	     768 B/op	      32 allocs/op
BenchmarkSubject 	  865924	       322.0 ns/op	     768 B/op	      32 allocs/op
BenchmarkSubject 	  792918	       323.2 ns/op	     768 B/op	      32 allocs/op
BenchmarkSubject 	  803937	       326.9 ns/op	     768 B/op	      32 allocs/op
BenchmarkSubject 	  855868	       326.7 ns/op	     768 B/op	      32 allocs/op
BenchmarkSubject 	  835759	       326.8 ns/op	     768 B/op	      32 allocs/op
BenchmarkSubject 	  818787	       328.0 ns/op	     768 B/op	      32 allocs/op
BenchmarkSubject 	  925990	       328.7 ns/op	     768 B/op	      32 allocs/op
BenchmarkSubject 	  805994	       328.4 ns/op	     768 B/op	      32 allocs/op
PASS
ok  	escapebench.local/matrix/M-b44a93baae51/subjects/Size0024FieldsPlain_RETURNED_ALLOCATING_R16_POINTER	6.289s
