goos: linux
goarch: amd64
pkg: escapebench.local/matrix/M-b44a93baae51/subjects/Size1024FieldsPtr_RETURNED_ALLOCATING_R4_K2_VALUE
cpu: Intel(R) Core(TM) Ultra 9 275HX
BenchmarkSubject 	 1272843	       262.6 ns/op	     192 B/op	       8 allocs/op
BenchmarkSubject 	 1000000	       263.7 ns/op	     192 B/op	       8 allocs/op
BenchmarkSubject 	 1000000	       261.4 ns/op	     192 B/op	       8 allocs/op
BenchmarkSubject 	 1000000	       260.4 ns/op	     192 B/op	       8 allocs/op
BenchmarkSubject 	 1000000	       261.4 ns/op	     192 B/op	       8 allocs/op
BenchmarkSubject 	 1000000	       263.9 ns/op	     192 B/op	       8 allocs/op
BenchmarkSubject 	 1000000	       262.6 ns/op	     192 B/op	       8 allocs/op
BenchmarkSubject 	 1000000	       260.1 ns/op	     192 B/op	       8 allocs/op
BenchmarkSubject 	 1000000	       261.6 ns/op	     192 B/op	       8 allocs/op
BenchmarkSubject 	 1000000	       262.0 ns/op	     192 B/op	       8 allocs/op
BenchmarkSubject 	 1000000	       260.0 ns/op	     192 B/op	       8 allocs/op
BenchmarkSubject 	 1000000	       265.9 ns/op	     192 B/op	       8 allocs/op
BenchmarkSubject 	 1000000	       259.6 ns/op	     192 B/op	       8 allocs/op
BenchmarkSubject 	 1000000	       265.8 ns/op	     192 B/op	       8 allocs/op
BenchmarkSubject 	 1000000	       261.1 ns/op	     192 B/op	       8 allocs/op
BenchmarkSubject 	 1000000	       261.7 ns/op	     192 B/op	       8 allocs/op
BenchmarkSubject 	 1000000	       262.7 ns/op	     192 B/op	       8 allocs/op
BenchmarkSubject 	 1000000	       260.4 ns/op	     192 B/op	       8 allocs/op
BenchmarkSubject 	 1000000	       262.9 ns/op	     192 B/op	       8 allocs/op
BenchmarkSubject 	 1000000	       261.6 ns/op	     192 B/op	       8 allocs/op
PASS
ok  	escapebench.local/matrix/M-b44a93baae51/subjects/Size1024FieldsPtr_RETURNED_ALLOCATING_R4_K2_VALUE	5.620s
